holder_address,balance
TTChA7iLZef5ZjnqwJ9MuVeNnRdrFkLHNG,9416106.000000000000000000
TGB8cXpskjyhBZHTK4f7wwk7yygyD5XRJP,9415077.000000000000000000
TDoLkzDUkLppZeXSxNNcvjzGFFEynUJn3h,9410922.000000000000000000
TYDXp4mBmgFPjrAAtiywXmAGukdmAPuqUC,9403511.000000000000000000
TDAeA5W8Vpw5EydfLL88gWA8jv36Qhtxqc,9392015.000000000000000000
TDJbqejkzXUUcXTgqM4Lro1remdVQQqWdo,9390468.000000000000000000
TPws79SeiBiucQmxSUCf2k3axFwECLcCNV,9390211.000000000000000000
TQ8eYgLfgaCXXF3gPYocgVDCgPUGp8tDDE,9387461.000000000000000000
TPBLSfgB14YoYkUKKrLjxZeiqniESb5DVq,9387097.000000000000000000
TA1iBFPHXvwAbyu9po84L8VNrYRJYgnAck,9376645.000000000000000000
TMSrn1vaQyEu7CLDU4vdi3BQr33bAfMsSx,9375907.000000000000000000
TWsk5WPn5dcyDE3qJC3d25LkLjuGwd8Gwu,9373447.000000000000000000
TTvsRga5uvyBPVc2n1jWsnEGk7XszK9GTL,9371406.000000000000000000
TUF61PWQ2FrnmjNn7NmrDNjpsJNjNBFA7C,9370362.000000000000000000
TREhXgjK6NVR3b5hXKAsCYc9CNERLVghFb,9360524.000000000000000000
TQw8N6yP5hNaFwrATVmjUKDB5NmBC9bQEz,9353289.000000000000000000
TGFgXojyLoHdRbz2oUbm8jYFqw1q3eiMsK,9352091.000000000000000000
TFZUcL6bBwUFQc2Wo4qmXQFGBGa7qPxVMZ,9349730.000000000000000000
TEFpSs3KrzGFs62T93pka8sb4wYCCHqJ3u,9348984.000000000000000000
TFL65fAMdhWSPMSL5iHbpaHwA4THveZn65,9345343.000000000000000000
TNaWHTeAbd2qYjJqwmJnF63ytKNenjq4ah,9337573.000000000000000000
TZ2brYDsq9frXnMiSMm7RuNJxmtqek9bWv,9321327.000000000000000000
TAq8mufszZJfZSyQMU6rAKc2xYfZpYuFec,9307963.000000000000000000
TMrRELM52JBdaEthbok5BnBAB7N2aF8tn9,9304418.000000000000000000
TSUApRUgXubyyv7QFGKYpSf14qmsgd657G,9303911.000000000000000000
TUo9RQ9ick92njp9CCDSGsz4EyKjpaJJ7r,9302490.000000000000000000
TAiamgL2wwFV4oW5SVnLUKg2TxWaTxYixz,9295630.000000000000000000
TGbUA85MZZaEmXwV91JbLSySoqpsRH3k7d,9294903.000000000000000000
TECi67nqtoocE1wrDWKYuP6rBYkWuzZq79,9286360.000000000000000000
TNqRxtWr2jShUKdVfXA8tLVikzSEgwsuFk,9279912.000000000000000000
TUMQp4KUMGZnS6XY3GPDQUgzc5ZH47mLho,9277042.000000000000000000
TRZWPF95rNWvh5PJbJWH4YrAn97y6a94dw,9260456.000000000000000000
TZGWJb23ksM3NxEzYB2wqqq9kvRJRhqmHS,9253085.000000000000000000
TE95pP6Gu7g8CYTzqbYkNxinzSqvDNNovm,9251049.000000000000000000
TTovmm43Qyw8dYWBM2g6ARJ3Nz1qVJKD4m,9233255.000000000000000000
TLxphckXd8E5Z8pZuGHi2CVXd8zTKDrQoP,9230772.000000000000000000
TZD2kqNjNc3FM2ZCS9raGLyrf6U87wBpb8,9215932.000000000000000000
TWu9ZYUWG6GqV8GGc4evFNFX7L1y3Uz8ZK,9214189.000000000000000000
TPKBbSaGdHvPiM5Du4VNWRxnbpnSghzpdf,9209176.000000000000000000
TP8aL4SggPfUW7ETMcbdkXguGa8Q49aRxF,9205742.000000000000000000
TN1GgfEu5j6jQ8unaXtDagJCpQ5D59RivJ,9205003.000000000000000000
TPHfhZrXYkWNpQySi3oeq88dfQfUfPEiE4,9200928.000000000000000000
TJzz83x1aquRjYpJf2eJNkkLhZpFuBGVR2,9187445.000000000000000000
TVpSaT45Hift8N46uWukL7UvCgUo1SANRW,9185660.000000000000000000
TAZQaz5SgHyUeguhiZ9v27nR45XsitfRFZ,9173262.000000000000000000
TFJr525sA6S3WM8yvtyjibib5zToxWcti2,9157864.781737090000000000
TWeeFTmVDhnjTLWk69r4PTatr6dBWBckwa,9145890.000000000000000000
TLwK5K3aiT353b4hANeUQZhzSKmcw3dBEK,9142372.000000000000000000
TP9C3m6rdaqR3YgbRPotGjsSjBXkAaXeT5,9141548.000000000000000000
TUpHuDkiCCmwaTZBHZvQdwWzGNm5t8J2b9,9135491.773564344583879457
TPWzR13odUxUo8WjJUMKj2Dyzx23cVXr3Q,9134379.000000000000000000
TX4fZ69B5aCA7VRcnxFbsqTDLcu5NpV1fS,9126520.000000000000000000
TSJ6vKYZ3WXpwXtdFLuUe3Jk6PkYjJHLUF,9115739.000000000000000000
TFkc7UC4bwRrGXn9thAzMoj76UYrh4pCne,9100088.000000000000000000
TEnMLCZyebuC6Sv6jMBSCbovnfRRktZxi9,9070091.000000000000000000
TL5CTDvyJmT3XyrTC83qfYad4HvvvVuijM,9062981.000000000000000000
TVdPrhcJktvL1Uap54BVsHv3zETiqg2Diw,9056582.000000000000000000
TNaEApqJ92EDyhjWHk8eZtiRZBcYnGcWbK,9052908.000000000000000000
TGit81ofdfocAaXKJnGeGKvkw7fbKS4EaY,9050959.000000000000000000
THuDcMBcJxDLspAvuqGq69Znp8PLypc8p3,9045972.000000000000000000
TAVc18Z8oiRCPRBQwnTErNLZFpjmPfcAJA,9035651.000000000000000000
TJTJqMnHBvUhfcBDj9ppfby6kowpaRqdPX,9034564.000000000000000000
TQoF2bYqE6mrBXfD11es9uxxaL3SGs8z1R,9031080.000000000000000000
TMmrw9LPB64sn8sq7JMo3LimUY5V1Ay7Um,9025095.000000000000000000
TD9tdZxCc4LQutyhRXACeYE8scsF9aDhTW,9006617.000000000000000000
TGZ97MZdh9EbYYchfSqeHrx3DgoeYTeGEz,9005060.000000000000000000
TPFGh3QZkzPKjd7czV2MLv6KynzXA6mSTz,9003989.000000000000000000
TMPvs9Mk9yoX95uCcZjmjHpWq52eqzD9PH,8983286.000000000000000000
TQ9Fwm64xrVSrA6oHTq1r2ex51GwWquyJ4,8983050.000000000000000000
TBLcfoR8rc9XPR9gkMTfUHkn6BU5vRSCrz,8980104.000000000000000000
TP4B9JNbHHTMTGD1TPeBthy7SkHEvweyEL,8974188.000000000000000000
TZD7YfbngWTd6pmWoCM6r4Rf3FoPxEFKbC,8971458.000000000000000000
TMZ3Y1JTmuZ3NDsQtPAUrFwiDWNxJn5bCe,8966452.000000000000000000
TKxnTUgdYtVBxDECdYc4HwYq62kNACABqm,8959766.000000000000000000
TPA3STrFjfqCCfN5uFnoFhYYnGc8kY9j5A,8959651.000000000000000000
TP3XqZfsaAxaW43RtVHDkw2tR74FVEk9UD,8957255.000000000000000000
TBUBcsj17TLKELqNrVr7z2T4H1F8XW4QRw,8953235.000000000000000000
TQgfTURdFTWwtfdsBp4Yqj6j3UGD1AhSRC,8950668.000000000000000000
TCPqM9mPjtymt2tNEgFEQz25SGKdYppNo9,8933774.000000000000000000
TMybErjNskNx64KrC76j2ECS4uHDYjDDY9,8930024.000000000000000000
TKLq2L6Xxc3X2eA6Gx7knjETjfK3u7dvu7,8926811.000000000000000000
TQaS3sBpgRhubcSKoRhKqjNy7GMnLDWBoH,8920333.000000000000000000
TUeSHUDmueTmVAMizvtFQ6RAUiJnQUnaoL,8920154.000000000000000000
TAofh9xeW9nXyzCZFKN7TycyXvwwWuiygX,8913050.000000000000000000
TUKs9HJreQFzw2um1XM6hebDRMQourvtmP,8904903.000000000000000000
TFe87u1dHzRD4tUd3JvKrhGoPBUtTG1rqA,8904285.000000000000000000
TGYvyKmvFZyTX9EzLp8Y6ZE3Fk6GmixRm1,8900084.000000000000000000
TN3pJHVEN2mp9k9gVeR2PCCqJm7eKQ4KXt,8888120.000000000000000000
TKhPRXwKV3cs3YeGTunrWoi9XSuQcUT9sD,8875931.000000000000000000
TKvRruB63t9dE1xewrELrbxxF8E4JWTKog,8872550.000000000000000000
TMxeWDFKux7nNVsZuhL11TFzY4Nk741Zkd,8870498.000000000000000000
TRXYGS3GPkUhnnJtsoSemN9Gu81cYHzcL7,8845816.000000000000000000
TWe49YKYK3WGE3Hf8LfiWFoKXc5q4HjZ6D,8845327.000000000000000000
TShemiTSDhEZw7eETjJhmnLL7hUN2biVDK,8841148.000000000000000000
TQ2NGRqzdShzomWYLqPxU3H5nvyWhBdsMK,8838939.000000000000000000
TRBfZQAbUbVyFmVxh7y59MMqwtRVEjEXvg,8838492.000000000000000000
TS6zLKZEBUPHEUvkNRZM1F74N3oQiyEaR3,8837777.000000000000000000
TMhK1A7QDe9SCjE75ViwJyRmx6H5RdDndW,8837483.000000000000000000
TCF5mRW8KXFzbdKW4r5rw3CPXxFVrs3BxG,8833940.000000000000000000
TT92xSrWzQsNfTYwxpGdC8w1mPQZ6WCU9E,8816036.000000000000000000
TJHo4a1ummPUC491qTuDt6QhYKLhtNAFjU,8815794.000000000000000000
TYpAXSzSB8UBHTqfZzHuJUfDDZaYTQLXVL,8809381.000000000000000000
TU5KBRNZcpLB7ogPFphSNPruentpCjjFD5,8809176.000000000000000000
TPvmSsC41Ek52tXEcSZkmmchkGrU3R1Dr5,8808685.000000000000000000
TP8NSTSF7pNoxyacaCQ4QYoXKm6XVwqrLT,8788806.000000000000000000
TWkBpTJ6SeupYQJU1JeFpkLieAj5BauZke,8777718.000000000000000000
TQWSQ2veijZX2Z45Y9w4xWztAXHKrYmAdH,8776548.000000000000000000
TD87nssaFXAgX88FF9mcis1bo4Gtma5inD,8764775.000000000000000000
TAFSwwn6gBwuasSXhX7gU8RWR3DsqC15oU,8751743.000000000000000000
TKSBdTpfspKQtiACdLBY4GqTWQF96NHtjm,8742820.000000000000000000
TBWAsAiBqdnzxWjgkQJ8Xh83zBgV2qjHr1,8716995.000000000000000000
TGuukTQEfAJaKLo3Ck5s6qzeMmVBFCRM9v,8711070.000000000000000000
TC2bY31JCEm5kFDviJMYijUUjsb4unn2iv,8710667.000000000000000000
TDmhhDYYKf3VFgSjtfWFGHAgzwnPYy3gos,8704111.000000000000000000
TByAc9dBfX2XnnJ7swbDr5xdpPJrMuQzfk,8702716.000000000000000000
TCpikqpP7h54ueNPquNxzF57ijJTmMV1Af,8700864.000000000000000000
THuEGW1twhNsDXiRg1qoaC1GoWv14WBtEg,8682829.000000000000000000
TRZwddDJM13bQZfgeysxwFWJXmFYc3GKWB,8680217.000000000000000000
TM3GimqmBayZAtWr8hxcjZcJ2b7A5bSTwe,8666839.000000000000000000
TDcyRotP5fFWQubQ2YLnKYvEKFYJSWJarA,8658071.000000000000000000
TUUMyTspAf2WgUnvo9dT3eEzbB3nHTGbDL,8657227.000000000000000000
TD7B5Tet2zZ2nPLVyjqNiAC7x1UoqDwS2H,8641973.000000000000000000
TFMu7Po7yRmaeaTGtgmVgde57n2SMkBMEv,8625861.000000000000000000
TJ1i94icoz5VD71KixkhvpUSojMXq2h7Bp,8624251.000000000000000000
TWJEo4bLQbyR2LinLVVrJjYceHxMxRe7rk,8620162.000000000000000000
TAwTsYbdVTXeMbqirYjFmEzcTS6JTtvU7E,8597262.000000000000000000
TF6QEbuiCRcLmzMJtWwJqUrcW5Bi7pv5ZR,8594554.000000000000000000
TCjLD2HVX6txdYdkmmwZhBJ3D9jAptFvjx,8593061.000000000000000000
TLFLEVQqRNokRxzZrarn1GJA5SUFoHjiiK,8589627.000000000000000000
TCTrLFpB5ACDNkeg7S433aTfCWbUA14E4p,8582434.000000000000000000
TDr4msWhST6XhUprVDLeyUsufJngyiPwbz,8572410.000000000000000000
TGT1a8n4eoYkdpzQvXqJkwXSSjhcBhVbJm,8568332.000000000000000000
TBPT7Ce88WMx73Va62RygqYnZSd9kWjBf1,8567248.000000000000000000
TAQSw8ftM9m6NSnBuJRiZhjaqtNo33Xx3a,8564315.000000000000000000
TWtGqD4vF7Dk1huREnQKqxX9wmfS4BVRf1,8553444.000000000000000000
TMgJFHbRNci6dW5XrJkV7or7guBuG7e2ek,8551411.000000000000000000
TKPotRDPg5qxModfhuemGbLpwiQH7iWm5U,8548892.000000000000000000
TSRDBnzNfKfZ5Qk19xLzhZvAiRhGhfDhVH,8544035.000000000000000000
TJHnwU4HWSYCf3aENFeHk839GuhQSwxZe6,8527269.000000000000000000
TJ5ou1EVQqswEtPdioEgbqDdoYDt2XBN9b,8522808.000000000000000000
TFMiuyrg8NBgWeqJXjvms2wg7Gd65t97eG,8516436.000000000000000000
TQwwz84ybNiCJiHNRyt3joau6JD9QNHvi8,8509366.000000000000000000
TWWjp23sXVCdtJaqTdePTXRQnWtXWyDq2D,8502428.000000000000000000
TFVfR1aXsRgJKQyK9SdiqFen1xeK8mt3V7,8496635.000000000000000000
TBM42TVB85m3YJ9o6eNCZo1CER2GSZsEF9,8496450.000000000000000000
TQZyYBHZPqpYxGD4vcSTYrimPmMi1qQWmu,8496400.000000000000000000
TUUoDP3raRW56QKDwW6EuyS6Y8WEiQaEfR,8488211.000000000000000000
THo1tZb7aF7VUdi6mwmBhFkyexNxFULXAW,8483082.000000000000000000
TD222nP6RKSyoVxk3cvkuitPpXF8qhkCvo,8473944.000000000000000000
TRmU6WVnnWLDrcQqZciYbYjXdJtTysuKms,8473130.000000000000000000
TJ458jpBkyLMFuuZAgGhGUFuE1HfHeLdAs,8468608.000000000000000000
TL67Hi7ThpbZNGhFhrcr9fvbVUV9azXmv3,8451818.000000000000000000
TSJSEbALtknzV6omhjzaXrb5xj4TRiVGoc,8450212.000000000000000000
TJMxz198SgWsCucSdha1jALMNW5rte4Zr8,8449957.000000000000000000
TKPYkp5zzbpvVx9ZsVWujdsYFLeKW3iJec,8448846.000000000000000000
TLpjCxE2erzfTwZz5hKcS1K8dUTwUFa3vg,8446141.000000000000000000
TY4ctcG6bUQ1EdP3oNJLK4i2LsKZ5Vrycv,8433061.000000000000000000
TAxiLbWyKchk4bGWwahMBQr7ZZ1KxVKpSp,8426605.000000000000000000
TF56iDYUwreZVytcnWwjtqwmUir7GxZnLj,8408035.000000000000000000
TMCptUiR1vdytKu3D63rFx6V3rNop5eEVV,8401848.000000000000000000
TQfiNyUu3TTdquLRRJm4PTjrn2h1bCzcU8,8400851.000000000000000000
TBG8HqLqnJwKH19yvnqrH27oz9mueSzME3,8393403.000000000000000000
TR13iyq1ujxcF2WudrNdzwgELRex5huWTw,8391705.000000000000000000
TCw7TUNw4oPu3MaaRuJHN9ytv7H8BDy8vY,8383196.000000000000000000
THvX5xBhFM1W4kotTP8uACuvLD9UEp3MnW,8378928.000000000000000000
TWzEaj7acq64UUALhhM1P1uNKKQUtjaT9K,8361109.000000000000000000
